id,uuid,first_name,last_name,username,email,start_date,end_date,content
0,c3d28c54-1eaf-42fc-902a-bd6025de046d,Magdalen,Casper,despina,stephnie.cormier@gmail.com,July 19 2018 19:50,1446032937,"data_embed(%Language designers want to design the perfect language. They want to be able to say, 'My language is perfect. It can do everything.' But it's just plain impossible to design a perfect language, because there are two ways to look at a language. One way is by looking at what can be done with that language. The other is by looking at how we feel using that language-how we feel while programming.%)"
1,77293c1e-590d-4905-94e6-e1fbe36c1601,DELMER,SCHILLER,elin.gleichner,ronald@gmail.com,August 25 2019 00:22,1464226915,"data_embed(%From the viewpoint of what you can do, therefore, languages do differ - but the differences are limited. For example, Python and Ruby provide almost the same power to the programmer.%)"
2,9df27f82-b622-4e16-a368-93f573f810ab,ESTEFANA,schimmel,TERENCE,gaston_zieme@hotmail.com,May 09 2015 00:16,1423210940,"data_embed(%Most programs are not write-once. They are reworked and rewritten again and again in their lived. Bugs must be debugged. Changing requirements and the need for increased functionality mean the program itself may be modified on an ongoing basis. During this process, human beings must be able to read and understand the original code. It is therefore more important by far for humans to be able to understand the program than it is for the computer.%)"
3,6d8f9a71-7ded-4769-8350-86d7136b689f,issac,STOKES,mark,lonnie.reichel@gmail.com,January 14 2015 04:52,1485215008,"data_embed(%The orthogonal features, when combined, can explode into complexity.In our daily lives as programmers, we process text strings a lot. So I tried to work hard on text processing, namely the string class and regular expressions. Regular expressions are built into the language and are very tuned up for use.People are different. People choose different criteria. But if there is a better way among many alternatives, I want to encourage that way by making it comfortable. So that's what I've tried to do.%)"
4,aff15a33-eccc-413a-9ec4-be475928a20c,GERALD,THOMPSON,clair.hoppe,anabel_altenwerth@yahoo.com,January 02 2016 01:25,1555138161,"data_embed(%I didn't work hard to make Ruby perfect for everyone, because you feel differently from me. No language can be perfect for everyone. I tried to make Ruby perfect for me, but maybe it's not perfect for you. The perfect language for Guido van Rossum is probably Python.You want to enjoy life, don't you? If you get your job done quickly and your job is fun, that's good isn't it? That's the purpose of life, partly. Your life is better.In our daily lives as programmers, we process text strings a lot. So I tried to work hard on text processing, namely the string class and regular expressions. Regular expressions are built into the language and are very tuned up for use.%)"
5,fc6dd99f-cbb3-4772-a1e7-3f90c31f8586,joane,BOGISICH,benjamin_rolfson,winnie@hotmail.com,November 29 2018 03:50,1565154044,"data_embed(%Everyone has an individual background. Someone may come from Python, someone else may come from Perl, and they may be surprised by different aspects of the language. Then they come up to me and say, 'I was surprised by this feature of the language, so therefore Ruby violates the principle of least surprise.' Wait. Wait. The principle of least surprise is not for you only.%)"
6,877d0002-9206-4e70-851b-20d1d8de65ca,MARLYS,Fisher,cara_johns,leonarda.wiza@hotmail.com,April 08 2015 08:16,1466347291,"data_embed(%Actually, I didn't make the claim that Ruby follows the principle of least surprise. Someone felt the design of Ruby follows that philosophy, so they started saying that. I didn't bring that up, actually.%)"
7,00820572-8cc3-4745-a2f1-83562d575fdd,jae,mayert,dominique,juan@yahoo.com,June 30 2019 13:31,1549515157,"data_embed(%I believe consistency and orthogonality are tools of design, not the primary goal in design.Man is driven to create; I know I really love to create things. And while I'm not good at painting, drawing, or music, I can write software.%)"
8,91562398-bee1-4048-829f-a36dcdf87ead,ELLIE,Bartoletti,LANITA,normand@yahoo.com,March 01 2017 05:57,1483701273,"data_embed(%Actually, I didn't make the claim that Ruby follows the principle of least surprise. Someone felt the design of Ruby follows that philosophy, so they started saying that. I didn't bring that up, actually.Most of the tasks we do are for humans. For example, a tax calculation is counting numbers so the government can pull money out from my wallet, but government consists of humans.%)"
9,feacfeb3-083d-4979-93a0-11d7bfe9b422,Joseph,botsford,JAY,teodoro@hotmail.com,May 06 2015 08:50,1423729518,"data_embed(%Most programs are not write-once. They are reworked and rewritten again and again in their lived. Bugs must be debugged. Changing requirements and the need for increased functionality mean the program itself may be modified on an ongoing basis. During this process, human beings must be able to read and understand the original code. It is therefore more important by far for humans to be able to understand the program than it is for the computer.Imagine you are writing an email. You are in front of the computer. You are operating the computer, clicking a mouse and typing on a keyboard, but the message will be sent to a human over the internet. So you are working before the computer, but with a human behind the computer.Ruby inherited the Perl philosophy of having more than one way to do the same thing. I inherited that philosophy from Larry Wall, who is my hero actually. I want to make Ruby users free. I want to give them the freedom to choose.%)"
10,3c41d44a-86ac-4142-8061-fba1f7d7dd90,kelley,Muller,FELICA,lucas@yahoo.com,January 05 2018 03:09,1479313925,"data_embed(%Most of the tasks we do are for humans. For example, a tax calculation is counting numbers so the government can pull money out from my wallet, but government consists of humans.Smart people underestimate the ordinarity of ordinary people.You want to enjoy life, don't you? If you get your job done quickly and your job is fun, that's good isn't it? That's the purpose of life, partly. Your life is better.%)"
11,0708e63a-675f-4485-ac95-c8d7e984f950,rubie,CRONA,KIP_CARTER,bradly.williamson@hotmail.com,September 12 2018 11:29,1440804192,"data_embed(%Most of the tasks we do are for humans. For example, a tax calculation is counting numbers so the government can pull money out from my wallet, but government consists of humans.Often people, especially computer engineers, focus on the machines. But in fact we need to focus on humans, on how humans care about doing programming or operating the application of the machines.Often people, especially computer engineers, focus on the machines. But in fact we need to focus on humans, on how humans care about doing programming or operating the application of the machines.%)"
12,98d2f49c-fd56-4a06-b770-43798caad8c9,LANDON,STAMM,HOSEA,millie.herzog@gmail.com,September 12 2015 03:19,1457865157,"data_embed(%Most of the tasks we do are for humans. For example, a tax calculation is counting numbers so the government can pull money out from my wallet, but government consists of humans.You want to enjoy life, don't you? If you get your job done quickly and your job is fun, that's good isn't it? That's the purpose of life, partly. Your life is better.%)"
13,22853cb4-f934-44cc-9518-6755d6bfd516,jerlene,nolan,ahmed,randell@hotmail.com,August 28 2019 01:13,1478756324,"data_embed(%People are different. People choose different criteria. But if there is a better way among many alternatives, I want to encourage that way by making it comfortable. So that's what I've tried to do.I believe that the purpose of life is, at least in part, to be happy. Based on this belief, Ruby is designed to make programming not only easy but also fun. It allows you to concentrate on the creative side of programming, with less stress.%)"
14,18f9c900-9683-445a-a5df-7be3d9ab9fb5,Cortez,HARVEY,ANGELO.RATH,evia@yahoo.com,January 31 2015 23:57,1431500344,"data_embed(%It is not the responsibility of the language to force good looking code, but the language should make good looking code possible.Because of the Turing completeness theory, everything one Turing-complete language can do can theoretically be done by another Turing-complete language, but at a different cost. You can do everything in assembler, but no one wants to program in assembler anymore.%)"
15,0340e213-30a6-412e-a4bd-3249182d5fde,VAL,Kihn,willie,stacey.trantow@yahoo.com,April 23 2018 17:52,1440911520,data_embed(%Smart people underestimate the ordinarity of ordinary people.%)
16,1b205092-e31f-479c-9d86-4076268e2eec,ALICE,terry,stacy_conn,marketta@hotmail.com,December 09 2018 17:51,1467038013,"data_embed(%Most of the tasks we do are for humans. For example, a tax calculation is counting numbers so the government can pull money out from my wallet, but government consists of humans.I believe consistency and orthogonality are tools of design, not the primary goal in design.%)"
17,cc92ec0b-62b5-418a-844f-782a6da39074,Cathern,BAILEY,roberta,zoe.rau@hotmail.com,December 14 2017 07:27,1435635342,"data_embed(%Man is driven to create; I know I really love to create things. And while I'm not good at painting, drawing, or music, I can write software.Ruby inherited the Perl philosophy of having more than one way to do the same thing. I inherited that philosophy from Larry Wall, who is my hero actually. I want to make Ruby users free. I want to give them the freedom to choose.%)"
18,1806d3aa-bffd-403c-8025-f3363c75eb14,ASIA,WINDLER,herman,issac_gislason@gmail.com,September 16 2016 18:04,1468400996,"data_embed(%Often people, especially computer engineers, focus on the machines. But in fact we need to focus on humans, on how humans care about doing programming or operating the application of the machines.The orthogonal features, when combined, can explode into complexity.In our daily lives as programmers, we process text strings a lot. So I tried to work hard on text processing, namely the string class and regular expressions. Regular expressions are built into the language and are very tuned up for use.%)"
19,c297ab40-8051-407c-873b-2ddc4c2da74d,BLOSSOM,SHIELDS,yi_cole,claude@gmail.com,October 04 2019 23:11,1506181546,"data_embed(%Everyone has an individual background. Someone may come from Python, someone else may come from Perl, and they may be surprised by different aspects of the language. Then they come up to me and say, 'I was surprised by this feature of the language, so therefore Ruby violates the principle of least surprise.' Wait. Wait. The principle of least surprise is not for you only.Because of the Turing completeness theory, everything one Turing-complete language can do can theoretically be done by another Turing-complete language, but at a different cost. You can do everything in assembler, but no one wants to program in assembler anymore.Language designers want to design the perfect language. They want to be able to say, 'My language is perfect. It can do everything.' But it's just plain impossible to design a perfect language, because there are two ways to look at a language. One way is by looking at what can be done with that language. The other is by looking at how we feel using that language-how we feel while programming.%)"
20,13a39498-3d20-4765-aa80-e7094e5dce5f,MOISES,KUHLMAN,anjelica,lyle.heathcote@gmail.com,February 13 2015 22:16,1468582243,"data_embed(%Plant a memory, plant a tree, do it today for tomorrow.Most of the tasks we do are for humans. For example, a tax calculation is counting numbers so the government can pull money out from my wallet, but government consists of humans.%)"
21,18706313-c1a4-4f87-bfeb-45246710f6f7,willie,satterfield,maybell,lauren.mraz@hotmail.com,February 01 2019 22:44,1507610444,"data_embed(%Most of the tasks we do are for humans. For example, a tax calculation is counting numbers so the government can pull money out from my wallet, but government consists of humans.%)"
22,3a8c06f2-5b8c-48b2-bafe-ceffcd827b2c,shantay,SAWAYN,leonardo_mckenzie,concha_bartell@gmail.com,August 08 2018 21:01,1472969797,"data_embed(%People are different. People choose different criteria. But if there is a better way among many alternatives, I want to encourage that way by making it comfortable. So that's what I've tried to do.The orthogonal features, when combined, can explode into complexity.Most programs are not write-once. They are reworked and rewritten again and again in their lived. Bugs must be debugged. Changing requirements and the need for increased functionality mean the program itself may be modified on an ongoing basis. During this process, human beings must be able to read and understand the original code. It is therefore more important by far for humans to be able to understand the program than it is for the computer.%)"
23,53e355ab-4b4e-49e0-9b87-bfe883de36d2,EDWIN,simonis,mitsue_harris,jeana@yahoo.com,March 12 2017 21:25,1450178857,"data_embed(%Ruby inherited the Perl philosophy of having more than one way to do the same thing. I inherited that philosophy from Larry Wall, who is my hero actually. I want to make Ruby users free. I want to give them the freedom to choose.From the viewpoint of what you can do, therefore, languages do differ - but the differences are limited. For example, Python and Ruby provide almost the same power to the programmer.From the viewpoint of what you can do, therefore, languages do differ - but the differences are limited. For example, Python and Ruby provide almost the same power to the programmer.%)"
24,b42067d5-9a9a-4f3e-b462-0b1c22bd5dff,Terrie,PAGAC,CAROLYNE_FLATLEY,ricardo@gmail.com,November 26 2016 09:28,1426667706,"data_embed(%You want to enjoy life, don't you? If you get your job done quickly and your job is fun, that's good isn't it? That's the purpose of life, partly. Your life is better.Often people, especially computer engineers, focus on the machines. But in fact we need to focus on humans, on how humans care about doing programming or operating the application of the machines.%)"
25,37536379-852c-4d8b-bf5e-79292ced13d0,Clay,ledner,leota,alexis@gmail.com,September 18 2017 12:02,1552544388,"data_embed(%Sometimes people jot down pseudo-code on paper. If that pseudo-code runs directly on their computers, its best, isn't it? Ruby tries to be like that, like pseudo-code that runs. Python people say that too.%)"
26,bc7c34d1-31e6-4cd6-b62b-41150509e209,EDWARDO,GOLDNER,graig_kemmer,kristofer_hoeger@yahoo.com,July 11 2019 02:22,1540106101,"data_embed(%Everyone has an individual background. Someone may come from Python, someone else may come from Perl, and they may be surprised by different aspects of the language. Then they come up to me and say, 'I was surprised by this feature of the language, so therefore Ruby violates the principle of least surprise.' Wait. Wait. The principle of least surprise is not for you only.It is not the responsibility of the language to force good looking code, but the language should make good looking code possible.I believe consistency and orthogonality are tools of design, not the primary goal in design.%)"
27,f3b261df-c045-4bfe-8006-d05bf26e9ee1,han,bradtke,michelina_johnson,andre.aufderhar@hotmail.com,July 02 2019 16:04,1530624345,"data_embed(%It is not the responsibility of the language to force good looking code, but the language should make good looking code possible.It is not the responsibility of the language to force good looking code, but the language should make good looking code possible.%)"
28,615e48c1-825c-4b09-a59f-4e4ec5ce1ebc,caroll,pfeffer,shalonda_abbott,arnette_heathcote@hotmail.com,November 02 2015 06:48,1487824128,"data_embed(%I hope to see Ruby help every programmer in the world to be productive, and to enjoy programming, and to be happy. That is the primary purpose of Ruby language.Because of the Turing completeness theory, everything one Turing-complete language can do can theoretically be done by another Turing-complete language, but at a different cost. You can do everything in assembler, but no one wants to program in assembler anymore.Smart people underestimate the ordinarity of ordinary people.%)"
